大分類,中分類,小分類,説明,ファイル,状態
DBスキーマ,補助テーブル,bookmarks,user_id/bookmarked_user_id/note/UNIQUE,supabase/migrations/00001,完了
DBスキーマ,補助テーブル,profile_views,viewer_id/viewed_user_id/view_duration/viewed_at,supabase/migrations/00001,完了
DBスキーマ,補助テーブル,prompt_versions,name/version(UNIQUE)/template/is_active v1.0.0+v2.0.0,supabase/migrations/00001+00002,完了
DBスキーマ,RLS,パターン1自己データ,user_profiles/settings/bookmarks/notifications SELECT+UPDATE WHERE auth.uid()=id,supabase/migrations/00001,完了
DBスキーマ,RLS,パターン2認証閲覧,user_profiles(active)/connections(参加者)/scores_v3(viewer)/ai_profiles/transcripts/participants,supabase/migrations/00001+00002,完了
DBスキーマ,RLS,パターン3管理者,user_profiles/transcripts/prompt_versions FOR ALL WHERE is_admin,supabase/migrations/00001,完了
DBスキーマ,RLS,パターン4-5公開+書込,prompt_versions公開読取/connections INSERT/profile_views INSERT/match_requests INSERT,supabase/migrations/00001,完了
DBスキーマ,関数,handle_new_user,auth.users INSERT→user_profiles(name/email/company/position/industry/bio)+settings自動作成,supabase/migrations/00001,完了
DBスキーマ,関数,protect_admin,is_admin/is_active変更をservice_roleのみに制限,supabase/migrations/00001,完了
DBスキーマ,関数,mark_cache_stale,user_profiles UPDATE→matching_scores_v3のis_stale=trueに更新,supabase/migrations/00002,完了
DBスキーマ,関数,purge_ai_data_on_delete,退会時insights/ai_profiles/scores削除+participants切断,supabase/migrations/00001,完了
DBスキーマ,Storage,avatars,公開読取/認証書込/ユーザー別フォルダ/2MB/image/*,supabase/migrations/00001,完了
DBスキーマ,Storage,covers,公開読取/認証書込/ユーザー別フォルダ/5MB/image/*,supabase/migrations/00001,完了
ユーザー体験,Day 1,ホームページ,ヒーロー+特徴3つ(非対称レイアウト)+CTA,src/app/(public)/page.tsx,完了
ユーザー体験,Day 1,登録フォーム,name/email/pw/company/position/industry(Select必須)/bio(textarea)/利用規約同意,src/components/features/auth/register-form.tsx,完了
ユーザー体験,Day 1,メール確認,?confirmed=trueバナー+OAuthエラーバナー,src/app/(public)/login/page.tsx,完了
ユーザー体験,Day 1,ダッシュボード,実データスタッツ4カード+おすすめTop3+新着メンバー+tl;dv CTA+双方向compute自動トリガー,src/app/(auth)/dashboard/page.tsx,完了
ユーザー体験,Day 1,マッチング,2軸理由テキスト中心+conf≥0.5でバー+接続済みガード+申請ボタン+tl;dv CTA,src/app/(auth)/matching/page.tsx,完了
ユーザー体験,Day 1,メンバー,検索+横スクロール業種フィルタ+カード(ブックマーク状態反映+申請ボタン)+ページネーション,src/app/(auth)/members/page.tsx,完了
ユーザー体験,Day 1,ProfileModal,プロフィール+理由テキスト+スコアバー(conf≥0.5)+接続状態ガード+ブックマーク状態反映,src/components/features/profile/profile-modal.tsx,完了
ユーザー体験,Day 1,コネクション,タブ(全て/承認待ち/送信済み)+承認/拒否+方向チェック,src/app/(auth)/connections/page.tsx,完了
ユーザー体験,Day 1,通知,link遷移+actions(承認/拒否ボタン+connectionId連携)+一括既読,src/app/(auth)/notifications/page.tsx,完了
ユーザー体験,Day 1,プロフィール,表示/編集モード+industry Select+bio textarea+contact_info(コネクション成立後公開),src/app/(auth)/profile/page.tsx,完了
ユーザー体験,Day 1,設定,tl;dv CTA+通知設定(準備中)+テーマ(準備中),src/app/(auth)/settings/page.tsx,完了
ユーザー体験,Day 2+,新着メンバー,ダッシュボードに直近7日の新規登録者(最大6人),src/app/(auth)/dashboard/page.tsx,完了
ユーザー体験,Day 2+,双方向更新,再ログイン時のcompute再実行で新規ユーザーを含むスコア更新,src/app/api/v1/matching/compute/route.ts,完了
セキュリティ,認証,JWT検証,getUser()(サーバー検証)を全API Routeで使用 getSession()不使用,src/lib/api-helpers.ts,完了
セキュリティ,認証,方向チェック,accept/reject=受信者のみ cancel=送信者のみ,src/app/api/v1/connections/[id]/route.ts,完了
セキュリティ,認証,OAuth,Facebook signInWithOAuth→/auth/callback route.ts→exchangeCodeForSession,src/app/(public)/auth/callback/route.ts,完了
セキュリティ,入力検証,UUIDバリデーション,profiles/[id]でisValidUUID+connections POSTでUUID形式チェック,src/lib/sanitize.ts,完了
セキュリティ,入力検証,industry,z.enum(INDUSTRIES)でINDUSTRIES定数以外を拒否,src/validations/profile.ts,完了
セキュリティ,入力検証,PostgREST,sanitizeFilterValueで(),."'\を除去,src/lib/sanitize.ts,完了
セキュリティ,データ保護,contact_info,API層でコネクションacceptedチェック→未接続はnull返却,src/app/api/v1/profiles/[id]/route.ts,完了
セキュリティ,データ保護,XSS防止,React JSXデフォルトエスケープ dangerouslySetInnerHTML不使用,全コンポーネント,完了
セキュリティ,レート制限,compute API,直近5分以内に計算済みなら早期リターン,src/app/api/v1/matching/compute/route.ts,完了
セキュリティ,レート制限,UNIQUE制約,PostgreSQL 23505エラー→409 CONFLICT変換,src/lib/api-helpers.ts,完了
セキュリティ,レート制限,ユーザー存在確認,connections POST前にuser_profiles存在+is_active確認,src/app/api/v1/connections/route.ts,完了
UXシミュレーション,v1,P0 8件,5軸→2軸/ProfileModal/理由エンジン/属性スコア/登録フォーム/方向チェック/CTA/申請ボタン,全修正完了,完了
UXシミュレーション,v2,データフロー3件,score_reasons→reasons/閾値0.70/mutual my_reasons,全修正完了,完了
UXシミュレーション,v3,計算ロジック3件,shrinkage迂回/Tier3 confidenceガード/compute invalidation,全修正完了,完了
UXシミュレーション,v4,認証+エッジ6件,sessionStorage/confirmed/ブックマーク/申請/UNIQUE 409/通知actions,全修正完了,完了
UXシミュレーション,v5,3ペルソナ3件,connectionId/最低閾値/COMPLEMENT_MATRIX,全修正完了,完了
UXシミュレーション,v6,視覚+操作5件,ProfileModalブックマーク/重複申請防止/disabled/モバイルフィルタ/接続済み表示,全修正完了,完了
UXシミュレーション,v7,攻撃テスト4件,compute連打防止/ユーザー存在確認/industry enum/相互同時申請,全修正完了,完了
UXシミュレーション,v8,プロダクト2件,双方向compute/新着メンバーセクション,全修正完了,完了
