#,項目,詳細,仕様・ロジック,状態,Phase,備考
LP設計,,,,,,
1-09,★200名既存の初回体験,属性+目的交差で即座にTOP3表示,"goals×offerings交差がある人を最優先
理由文具体的:「佐藤さんはSaaS CTOで、あなたと同じ事業提携を求めています」
★200名いれば十分な候補が出る",設計中,1,
1-10,★新規コミュニティDay1,最低10人→初回ラウンドテーブルで強制起動,"管理者10人招待→手動マッチ3-5件→初回ラウンドテーブル(テーマ:自己紹介)
→Bot全員分のデータ取得→全員Lv2へ一気に",設計中,1-2,
,,,,,,
🔒 セキュリティ,,,,,,
1-S1,OAuth+招待+入力,PKCE/state/DOMPurify/sanitize.ts,"招待コード:5回/分→10回失敗で30分ロック
セッション:access 1h/refresh 7d/5デバイス",完了,1,
,,,,,,
★Step 0: 運営者面談→Haiku自動プロフィール生成,,,,,,
1-11,★面談→自動データ抽出,運営者との初回面談をHaikuが分析→プロフィール自動生成,"フロー:
①運営者が新メンバーとオンボーディング面談(Zoom/Meet, 15-30分)
②Recall.ai Botが自動参加→録画・文字起こし
③文字起こし完了→★Claude Haikuに専用プロンプト投入
④抽出結果→メンバーに確認画面表示

★通常の会議分析(Sonnet)とは別プロンプト:
Sonnet=汎用スキル/ニーズ抽出
Haiku=「何を求め、何を提供できるか」に完全特化

コスト: 30分≈1万語, Haiku≈$0.003/件, 200人で$0.60",設計中,1,経営者にフォーム入力させず、会話から全て抽出する
1-12,★Haiku抽出プロンプト設計,オンボーディング面談専用の抽出仕様,"抽出対象:

①goals(6カテゴリマッピング+具体的文脈):
  カテゴリ: 事業提携/経営相談/投資/採用/情報交換/メンタリング
  具体文脈: 「SaaSのARRが3億で壁。10億経験者と話したい」等
  → goals_detail JSONB: [{type:""partnership"", context:""SaaS ARR3億→10億の壁突破経験者を求む"", confidence:0.9}]

②offerings(同構造):
  具体文脈: 「製造業DXを15年やってきた。導入から運用まで支援できる」
  → offerings_detail JSONB: [{type:""mentoring"", context:""製造業DX 15年の実務経験"", confidence:0.85}]

③プロフィール補完:
  industry/position/company (OAuth未取得分の補完)
  ★bio候補文: 会話から自然な自己紹介文(200文字)を自動生成

④原文引用:
  ニーズを語った部分の原文(確認画面で表示用)
  「ご本人の言葉: ""正直、資金調達で苦労していて...""」

レスポンス形式: JSON(Zodバリデーション適用)",設計中,1,Sonnetより安く速いHaikuで十分な精度が出る
1-13,★確認画面(自動入力→ワンタップ確定),Haiku抽出結果をメンバーが確認・修正,"画面構成:
「運営者との面談から、以下の内容を自動で抽出しました」

━━ あなたが求めていること ━━
☑ 事業提携: SaaS ARR3億→10億の壁突破経験者
☑ 投資: シリーズB 3-5億円
□ (追加する)

━━ あなたが提供できること ━━
☑ 技術アドバイス: AI/ML導入の実務経験10年
□ (追加する)

━━ 自己紹介文 ━━
[自動生成されたbio候補。編集可能テキストエリア]

[この内容で始める] [修正する]

★「修正する」→各項目をインライン編集可能
★「この内容で始める」→全データ確定→ダッシュボードへ

★ゼロ入力でフォーム完成。心理的負荷が劇的に低い",設計中,1,入力ではなく確認。これでgoals/offerings入力率100%を実現
1-14,★面談と同時にLv2到達,初回面談=最初の会議データ,"★面談データはSonnet分析にも同時投入:
  Haiku: プロフィール抽出(即時)
  Sonnet: 会話分析(transcript_insights生成)

結果: 登録初日で成熟度Lv2に到達
→ コールドスタート問題が根本解消
→ 初回ダッシュボード表示時にAIスコア込みの推薦が出る

★200人全員の面談完了後:
  全員Lv2+goals/offerings完備→属性+目的+AI会話の3軸でマッチング開始
  200人×goals交差で高品質な推薦が即座に出る",設計中,1,面談1回でコールドスタート完全解消+Lv2到達の一石二鳥
★運営オペレーション設計(200人面談),,,,,,
1-15,★面談スケジュール設計,200人×30分=100時間の運営計画,"推奨順序:
①コアメンバー10人を最初の1週間で面談
  →初期マッチングデータ生成+初回ラウンドテーブルの核
②残り190人を4-6週間で面談(1日5-8件ペース)

★面談の質問テンプレート(運営者用):
  1.「今の事業の状況を教えてください」(industry/company把握)
  2.「このコミュニティに期待していることは？」(goals抽出)
  3.「あなたが他のメンバーに提供できることは？」(offerings抽出)
  4.「最近関心を持っているテーマは？」(bio/keyword抽出)
  5.「理想の出会いを1つ挙げるなら？」(最優先goals確認)

所要時間: 15-30分
★この質問テンプレートがHaikuプロンプトの前提になる",設計中,1,面談テンプレートがHaiku精度に直結
